Woo Order Number,Order ID,Channel ID,Country,State,order_created_ts,Order Updates,Update Timestamp,Carrier,Tracking Number,Tracking Shipped,shipstation_create_ts,pipe17_ts,delivered_ts,Channel,order_to_shipstation_hrs,shipstation_to_pipe17_hrs,pipe17_to_delivered_hrs,order_to_delivered_hrs,sales_channel,delivery_speed_category,order_date_day
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/6/2025 17:36,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 7:39,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 8:38,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 8:54,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:23,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:23,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:55,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 12:33,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 9:51,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 9:51,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309283,113-8848136-7690662,90,US,IN,9/25/2025 12:06,,9/25/2025 12:06,,,,9/25/2025 10:05,,,,-2.009444444,,,,nan,,9/25/2025
309283,113-8848136-7690662,90,US,IN,9/25/2025 12:06,,9/25/2025 12:06,,,,9/25/2025 10:05,,,,-2.009444444,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/25/2025 13:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/25/2025 13:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 14:03,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:32,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:42,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:43,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 15:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/25/2025 15:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/25/2025 15:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/25/2025 20:54,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/25/2025 20:54,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/26/2025 4:06,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/26/2025 4:06,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/26/2025 7:38,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/26/2025 7:38,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/26/2025 7:38,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/26/2025 7:38,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/26/2025 7:38,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309295,nan,85,US,CA,9/26/2025 9:32,,9/26/2025 9:32,FedEx,3.9372E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309295,nan,85,US,CA,9/26/2025 9:32,,9/26/2025 9:32,FedEx,3.9372E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309295,nan,85,US,CA,9/26/2025 9:32,,9/26/2025 9:48,FedEx,3.9372E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309296,702-5887493-0263469,90,CA,AB,9/26/2025 10:51,,9/26/2025 10:51,purolator,5.20076E+11,9/29/2025 8:58,9/26/2025 8:50,,,,-2.018055556,,,,nan,,9/26/2025
309296,702-5887493-0263469,90,CA,AB,9/26/2025 10:51,,9/26/2025 10:51,purolator,5.20076E+11,9/29/2025 8:58,9/26/2025 8:50,,,,-2.018055556,,,,nan,,9/26/2025
309297,111-0400745-5061851,90,US,MA,9/26/2025 12:21,,9/26/2025 12:21,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 10:20,,,,-2.010277778,,,,nan,,9/26/2025
309297,111-0400745-5061851,90,US,MA,9/26/2025 12:21,,9/26/2025 12:21,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 10:20,,,,-2.010277778,,,,nan,,9/26/2025
309298,nan,0,US,NY,9/26/2025 13:13,,9/26/2025 13:13,FedEx,3.93719E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309298,nan,0,US,NY,9/26/2025 13:13,,9/26/2025 13:13,FedEx,3.93719E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309295,nan,85,US,CA,9/26/2025 9:32,,9/26/2025 13:43,FedEx,3.9372E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/26/2025 13:51,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/26/2025 13:51,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/26/2025 14:06,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/26/2025 14:06,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309300,113-3758180-4380236,90,US,FL,9/26/2025 14:21,,9/26/2025 14:21,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 12:20,,,,-2.009722222,,,,nan,,9/26/2025
309300,113-3758180-4380236,90,US,FL,9/26/2025 14:21,,9/26/2025 14:21,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 12:20,,,,-2.009722222,,,,nan,,9/26/2025
309296,702-5887493-0263469,90,CA,AB,9/26/2025 10:51,,9/26/2025 15:03,purolator,5.20076E+11,9/29/2025 8:58,9/26/2025 8:50,,,,-2.018055556,,,,nan,,9/26/2025
309301,nan,0,US,MI,9/26/2025 15:40,,9/26/2025 15:43,,,,,,,,,,,,nan,,9/26/2025
309301,nan,0,US,MI,9/26/2025 15:40,,9/26/2025 15:46,,,,,,,,,,,,nan,,9/26/2025
309297,111-0400745-5061851,90,US,MA,9/26/2025 12:21,,9/26/2025 16:33,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 10:20,,,,-2.010277778,,,,nan,,9/26/2025
309302,114-5793071-9188223,90,US,NC,9/26/2025 16:36,,9/26/2025 16:36,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 14:35,,,,-2.008888889,,,,nan,,9/26/2025
309302,114-5793071-9188223,90,US,NC,9/26/2025 16:36,,9/26/2025 16:36,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 14:35,,,,-2.008888889,,,,nan,,9/26/2025
309303,111-3486078-1707456,90,US,ID,9/26/2025 17:06,,9/26/2025 17:06,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 15:05,,,,-2.009722222,,,,nan,,9/26/2025
309303,111-3486078-1707456,90,US,ID,9/26/2025 17:06,,9/26/2025 17:06,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 15:05,,,,-2.009722222,,,,nan,,9/26/2025
309298,nan,0,US,NY,9/26/2025 13:13,,9/26/2025 17:23,FedEx,3.93719E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309304,nan,0,US,VA,9/26/2025 18:22,,9/26/2025 18:22,USPS,9.43465E+21,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309305,nan,0,US,NJ,9/26/2025 19:31,,9/26/2025 19:31,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309305,nan,0,US,NJ,9/26/2025 19:31,,9/26/2025 19:31,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309305,nan,0,US,NJ,9/26/2025 19:31,,9/26/2025 19:31,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309306,nan,0,US,CA,9/26/2025 20:38,,9/26/2025 20:38,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309307,112-0000406-3151439,90,US,CO,9/26/2025 22:06,,9/26/2025 22:06,FedEx,3.93719E+11,9/29/2025 14:55,9/26/2025 20:05,,,,-2.009444444,,,,nan,,9/26/2025
309307,112-0000406-3151439,90,US,CO,9/26/2025 22:06,,9/26/2025 22:06,FedEx,3.93719E+11,9/29/2025 14:55,9/26/2025 20:05,,,,-2.009444444,,,,nan,,9/26/2025
309308,nan,0,US,CA,9/26/2025 23:37,,9/26/2025 23:37,FedEx,3.93718E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309308,nan,0,US,CA,9/26/2025 23:37,,9/26/2025 23:37,FedEx,3.93718E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309309,111-0402465-1337824,90,US,ND,9/27/2025 2:51,,9/27/2025 2:51,FedEx,3.93718E+11,9/29/2025 14:54,9/27/2025 0:50,,,,-2.009444444,,,,nan,,9/27/2025
309309,111-0402465-1337824,90,US,ND,9/27/2025 2:51,,9/27/2025 2:51,FedEx,3.93718E+11,9/29/2025 14:54,9/27/2025 0:50,,,,-2.009444444,,,,nan,,9/27/2025
309310,113-3810996-3690642,90,US,TX,9/27/2025 7:51,,9/27/2025 7:51,FedEx,3.93719E+11,9/29/2025 14:54,9/27/2025 5:50,,,,-2.009722222,,,,nan,,9/27/2025
309310,113-3810996-3690642,90,US,TX,9/27/2025 7:51,,9/27/2025 7:51,FedEx,3.93719E+11,9/29/2025 14:54,9/27/2025 5:50,,,,-2.009722222,,,,nan,,9/27/2025
309311,nan,0,US,CO,9/27/2025 8:10,,9/27/2025 8:10,FedEx,3.93718E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309311,nan,0,US,CO,9/27/2025 8:10,,9/27/2025 8:10,FedEx,3.93718E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309317,nan,0,US,NJ,9/27/2025 9:33,,9/27/2025 9:35,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309317,nan,0,US,NJ,9/27/2025 9:33,,9/27/2025 9:36,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309317,nan,0,US,NJ,9/27/2025 9:33,,9/27/2025 9:38,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309318,111-0057261-5615446,90,US,CT,9/27/2025 11:06,,9/27/2025 11:06,FedEx,3.93719E+11,9/29/2025 14:55,9/27/2025 9:05,,,,-2.009444444,,,,nan,,9/27/2025
309318,111-0057261-5615446,90,US,CT,9/27/2025 11:06,,9/27/2025 11:06,FedEx,3.93719E+11,9/29/2025 14:55,9/27/2025 9:05,,,,-2.009444444,,,,nan,,9/27/2025
309319,113-0464584-4176253,90,US,VA,9/27/2025 11:36,,9/27/2025 11:36,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 9:35,,,,-2.009166667,,,,nan,,9/27/2025
309319,113-0464584-4176253,90,US,VA,9/27/2025 11:36,,9/27/2025 11:36,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 9:35,,,,-2.009166667,,,,nan,,9/27/2025
309320,nan,0,US,VA,9/27/2025 12:03,,9/27/2025 12:03,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309320,nan,0,US,VA,9/27/2025 12:03,,9/27/2025 12:03,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309321,nan,0,US,WA,9/27/2025 12:57,,9/27/2025 12:57,FedEx,3.93719E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309321,nan,0,US,WA,9/27/2025 12:57,,9/27/2025 12:58,FedEx,3.93719E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309322,111-4004528-9102622,90,US,MI,9/27/2025 13:36,,9/27/2025 13:36,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 11:35,,,,-2.009166667,,,,nan,,9/27/2025
309322,111-4004528-9102622,90,US,MI,9/27/2025 13:36,,9/27/2025 13:36,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 11:35,,,,-2.009166667,,,,nan,,9/27/2025
309323,113-3773065-1299430,90,US,UT,9/27/2025 15:21,,9/27/2025 15:21,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 13:20,,,,-2.009722222,,,,nan,,9/27/2025
309323,113-3773065-1299430,90,US,UT,9/27/2025 15:21,,9/27/2025 15:21,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 13:20,,,,-2.009722222,,,,nan,,9/27/2025
309324,113-6132492-3933831,90,US,NJ,9/27/2025 21:06,,9/27/2025 21:06,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 19:05,,,,-2.009722222,,,,nan,,9/27/2025
309324,113-6132492-3933831,90,US,NJ,9/27/2025 21:06,,9/27/2025 21:06,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 19:05,,,,-2.009722222,,,,nan,,9/27/2025
309325,nan,0,US,CA,9/27/2025 21:15,,9/27/2025 21:15,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/27/2025
309326,nan,0,US,IL,9/28/2025 10:00,,9/28/2025 10:00,USPS,9.43465E+21,9/29/2025 14:58,,,,,,,,,nan,,9/28/2025
309326,nan,0,US,IL,9/28/2025 10:00,,9/28/2025 10:00,USPS,9.43465E+21,9/29/2025 14:58,,,,,,,,,nan,,9/28/2025
309327,113-2627365-2518632,90,US,NC,9/28/2025 10:21,,9/28/2025 10:21,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 8:20,,,,-2.009444444,,,,nan,,9/28/2025
309327,113-2627365-2518632,90,US,NC,9/28/2025 10:21,,9/28/2025 10:21,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 8:20,,,,-2.009444444,,,,nan,,9/28/2025
309328,nan,0,US,NJ,9/28/2025 13:26,,9/28/2025 13:27,FedEx,3.93718E+11,9/29/2025 14:59,,,,,,,,,nan,,9/28/2025
309328,nan,0,US,NJ,9/28/2025 13:26,,9/28/2025 13:27,FedEx,3.93718E+11,9/29/2025 14:59,,,,,,,,,nan,,9/28/2025
309329,114-2567443-2900250,90,US,SC,9/28/2025 13:36,,9/28/2025 13:36,FedEx,3.93719E+11,9/29/2025 14:58,9/28/2025 11:35,,,,-2.009444444,,,,nan,,9/28/2025
309329,114-2567443-2900250,90,US,SC,9/28/2025 13:36,,9/28/2025 13:36,FedEx,3.93719E+11,9/29/2025 14:58,9/28/2025 11:35,,,,-2.009444444,,,,nan,,9/28/2025
309330,114-2530101-2282638,90,US,VA,9/28/2025 14:06,,9/28/2025 14:06,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 12:05,,,,-2.009722222,,,,nan,,9/28/2025
309330,114-2530101-2282638,90,US,VA,9/28/2025 14:06,,9/28/2025 14:06,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 12:05,,,,-2.009722222,,,,nan,,9/28/2025
309331,nan,0,US,VA,9/28/2025 15:54,,9/28/2025 15:54,FedEx,3.93719E+11,9/29/2025 14:59,,,,,,,,,nan,,9/28/2025
309331,nan,0,US,VA,9/28/2025 15:54,,9/28/2025 15:54,FedEx,3.93719E+11,9/29/2025 14:59,,,,,,,,,nan,,9/28/2025
309332,nan,0,US,WA,9/28/2025 17:44,,9/28/2025 17:44,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/28/2025
309332,nan,0,US,WA,9/28/2025 17:44,,9/28/2025 17:46,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/28/2025
309332,nan,0,US,WA,9/28/2025 17:44,,9/28/2025 17:46,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/28/2025
309333,111-5642046-5221040,90,US,TX,9/28/2025 19:51,,9/28/2025 19:51,FedEx,3.93718E+11,9/29/2025 14:58,9/28/2025 17:50,,,,-2.01,,,,nan,,9/28/2025
309333,111-5642046-5221040,90,US,TX,9/28/2025 19:51,,9/28/2025 19:51,FedEx,3.93718E+11,9/29/2025 14:58,9/28/2025 17:50,,,,-2.01,,,,nan,,9/28/2025
309334,111-9053360-7782653,90,US,OR,9/28/2025 20:51,,9/28/2025 20:51,FedEx,3.93719E+11,9/29/2025 14:57,9/28/2025 18:50,,,,-2.01,,,,nan,,9/28/2025
309334,111-9053360-7782653,90,US,OR,9/28/2025 20:51,,9/28/2025 20:51,FedEx,3.93719E+11,9/29/2025 14:57,9/28/2025 18:50,,,,-2.01,,,,nan,,9/28/2025
309335,111-0479515-8849010,90,US,OR,9/29/2025 4:36,,9/29/2025 4:36,FedEx,3.93719E+11,9/29/2025 14:59,9/29/2025 2:35,,,,-2.010277778,,,,nan,,9/29/2025
309335,111-0479515-8849010,90,US,OR,9/29/2025 4:36,,9/29/2025 4:36,FedEx,3.93719E+11,9/29/2025 14:59,9/29/2025 2:35,,,,-2.010277778,,,,nan,,9/29/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/29/2025 7:33,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/29/2025 7:33,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/29/2025 7:33,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/29/2025 7:33,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/29/2025 7:33,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/29/2025 7:34,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/29/2025 7:34,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309302,114-5793071-9188223,90,US,NC,9/26/2025 16:36,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:53,9/26/2025 14:35,,,,-2.008888889,,,,nan,,9/26/2025
309308,nan,0,US,CA,9/26/2025 23:37,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:53,,,,,,,,,nan,,9/26/2025
309304,nan,0,US,VA,9/26/2025 18:22,,9/29/2025 7:38,USPS,9.43465E+21,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309310,113-3810996-3690642,90,US,TX,9/27/2025 7:51,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:54,9/27/2025 5:50,,,,-2.009722222,,,,nan,,9/27/2025
309309,111-0402465-1337824,90,US,ND,9/27/2025 2:51,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:54,9/27/2025 0:50,,,,-2.009444444,,,,nan,,9/27/2025
309306,nan,0,US,CA,9/26/2025 20:38,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309305,nan,0,US,NJ,9/26/2025 19:31,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309303,111-3486078-1707456,90,US,ID,9/26/2025 17:06,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 15:05,,,,-2.009722222,,,,nan,,9/26/2025
309300,113-3758180-4380236,90,US,FL,9/26/2025 14:21,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 12:20,,,,-2.009722222,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/29/2025 7:38,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309318,111-0057261-5615446,90,US,CT,9/27/2025 11:06,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:55,9/27/2025 9:05,,,,-2.009444444,,,,nan,,9/27/2025
309321,nan,0,US,WA,9/27/2025 12:57,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
